0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
André Onana,Man Utd,GKP,5.0,90.0,9.0,90.0,2.0,90.0,0.0,90.0,0.0,90.0,2.0,90.0,7.0,90.0,2.0,90.0,2.0,90.0,3.0,90.0,2.0,90.0,6.0,90.0,8.0,90.0,9.0,90.0,3.0,90.0,2.0,90.0,1.0,90.0,10.0,90.0,2.0,90.0,1.0,90.0,1.0,90.0,2.0,90.0,1.0,90.0,8.0,90.0,4.0,90.0,3.0,90.0,2.0,90.0,2.0,90.0,11.0,0.0,0.0,105.0
Gabriel dos Santos Magalhães,Arsenal,DEF,5.0,4.0,1.0,20.0,1.0,0.0,0.0,90.0,2.0,90.0,5.0,90.0,1.0,90.0,6.0,90.0,8.0,90.0,1.0,0.0,0.0,90.0,2.0,90.0,2.0,90.0,6.0,90.0,2.0,90.0,1.0,90.0,2.0,90.0,6.0,90.0,10.0,90.0,1.0,90.0,1.0,80.0,17.0,90.0,2.0,90.0,-1.0,90.0,12.0,90.0,6.0,90.0,2.0,90.0,6.0,90.0,1.0,0.0,0.0,103.0
Kieran Trippier,Newcastle,DEF,6.5,90.0,2.0,90.0,2.0,90.0,0.0,90.0,1.0,90.0,8.0,69.0,18.0,90.0,12.0,90.0,6.0,68.0,10.0,90.0,0.0,90.0,9.0,90.0,1.0,90.0,1.0,90.0,12.0,90.0,1.0,85.0,-1.0,0.0,0.0,90.0,2.0,90.0,1.0,0.0,0.0,90.0,1.0,90.0,7.0,90.0,9.0,90.0,4.0,90.0,1.0,90.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,108.0
William Saliba,Arsenal,DEF,5.0,90.0,5.0,90.0,8.0,90.0,1.0,90.0,2.0,90.0,6.0,90.0,1.0,90.0,6.0,90.0,7.0,90.0,1.0,90.0,7.0,90.0,2.0,90.0,9.0,90.0,6.0,90.0,1.0,90.0,1.0,90.0,2.0,90.0,7.0,90.0,2.0,90.0,1.0,90.0,0.0,90.0,6.0,90.0,2.0,90.0,1.0,90.0,12.0,90.0,6.0,90.0,2.0,90.0,6.0,90.0,2.0,0.0,0.0,112.0
Jarrod Bowen,West Ham,MID,7.0,90.0,9.0,90.0,2.0,90.0,12.0,90.0,7.0,90.0,2.0,90.0,7.0,90.0,9.0,90.0,2.0,90.0,8.0,90.0,2.0,90.0,7.0,90.0,8.0,0.0,0.0,90.0,2.0,90.0,7.0,90.0,2.0,90.0,8.0,87.0,8.0,90.0,6.0,90.0,3.0,90.0,2.0,90.0,1.0,90.0,2.0,90.0,2.0,90.0,2.0,90.0,20.0,90.0,5.0,90.0,2.0,90.0,2.0,149.0
Phil Foden,Man City,MID,7.5,90.0,3.0,90.0,9.0,4.0,4.0,89.0,5.0,66.0,2.0,86.0,11.0,90.0,2.0,90.0,2.0,90.0,2.0,90.0,7.0,45.0,6.0,90.0,2.0,90.0,2.0,72.0,9.0,72.0,3.0,90.0,2.0,90.0,5.0,0.0,0.0,90.0,8.0,90.0,12.0,90.0,2.0,76.0,6.0,90.0,20.0,90.0,3.0,90.0,2.0,90.0,11.0,90.0,15.0,90.0,2.0,0.0,0.0,157.0
Mohamed Salah,Liverpool,MID,12.5,76.0,5.0,85.0,5.0,90.0,5.0,90.0,8.0,90.0,10.0,90.0,10.0,73.0,1.0,90.0,15.0,90.0,16.0,90.0,8.0,90.0,2.0,90.0,16.0,90.0,5.0,90.0,5.0,66.0,3.0,90.0,13.0,90.0,3.0,90.0,7.0,90.0,3.0,90.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,11.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,168.0
Son Heung-min,Spurs,MID,9.0,74.0,2.0,90.0,3.0,90.0,3.0,71.0,20.0,79.0,2.0,78.0,14.0,68.0,7.0,75.0,3.0,81.0,14.0,90.0,10.0,90.0,2.0,90.0,2.0,90.0,2.0,90.0,10.0,87.0,2.0,90.0,17.0,87.0,2.0,90.0,7.0,90.0,5.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,90.0,2.0,0.0,0.0,89.0,7.0,90.0,17.0,86.0,2.0,168.0
Bukayo Saka,Arsenal,MID,8.5,90.0,10.0,88.0,3.0,90.0,8.0,90.0,4.0,90.0,6.0,90.0,13.0,75.0,9.0,0.0,0.0,90.0,5.0,72.0,6.0,90.0,2.0,80.0,5.0,90.0,8.0,90.0,8.0,90.0,5.0,90.0,2.0,88.0,3.0,90.0,1.0,90.0,2.0,90.0,7.0,90.0,3.0,90.0,10.0,78.0,9.0,66.0,15.0,68.0,15.0,75.0,10.0,45.0,7.0,90.0,2.0,0.0,0.0,178.0
Ollie Watkins,Aston Villa,FWD,8.0,90.0,5.0,73.0,5.0,85.0,5.0,72.0,2.0,90.0,5.0,90.0,9.0,90.0,23.0,90.0,5.0,90.0,11.0,90.0,2.0,90.0,2.0,90.0,6.0,90.0,5.0,90.0,11.0,89.0,1.0,90.0,2.0,90.0,9.0,90.0,2.0,90.0,2.0,90.0,8.0,90.0,1.0,90.0,7.0,90.0,18.0,90.0,2.0,90.0,13.0,90.0,9.0,90.0,13.0,90.0,2.0,90.0,2.0,187.0
Dominic Solanke,Bournemouth,FWD,6.5,90.0,7.0,90.0,5.0,90.0,2.0,90.0,7.0,90.0,2.0,90.0,6.0,90.0,2.0,90.0,1.0,84.0,7.0,90.0,2.0,84.0,2.0,90.0,13.0,90.0,2.0,90.0,6.0,87.0,2.0,90.0,7.0,0.0,0.0,90.0,17.0,90.0,6.0,90.0,2.0,82.0,2.0,90.0,8.0,90.0,2.0,90.0,4.0,90.0,12.0,90.0,2.0,88.0,2.0,90.0,0.0,0.0,0.0,130.0
Bernd Leno,Fulham,GKP,4.5,90.0,12.0,90.0,2.0,90.0,5.0,90.0,0.0,90.0,6.0,90.0,10.0,90.0,1.0,90.0,2.0,90.0,2.0,90.0,3.0,90.0,3.0,90.0,2.0,90.0,2.0,90.0,1.0,90.0,6.0,90.0,9.0,90.0,3.0,90.0,1.0,90.0,0.0,90.0,1.0,90.0,2.0,90.0,8.0,90.0,1.0,90.0,3.0,90.0,1.0,90.0,3.0,90.0,8.0,90.0,1.0,90.0,7.0,105.0
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,0.0,0.0,4.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,32.0,0.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,63.0,2.0,90.0,2.0,0.0,0.0,8.0,1.0,45.0,1.0,73.0,8.0,74.0,13.0,90.0,8.0,90.0,2.0,83.0,11.0,90.0,2.0,63.0,13.0,69.0
Pedro Porro,Spurs,DEF,5.0,0.0,0.0,87.0,6.0,90.0,6.0,90.0,4.0,90.0,2.0,90.0,1.0,90.0,7.0,90.0,6.0,90.0,6.0,90.0,2.0,90.0,0.0,90.0,5.0,90.0,5.0,90.0,0.0,90.0,5.0,90.0,5.0,90.0,8.0,90.0,2.0,90.0,5.0,90.0,2.0,90.0,6.0,90.0,1.0,90.0,1.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,90.0,1.0,95.0
Conor Bradley,Liverpool,DEF,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,8.0,67.0,21.0,0.0,0.0,0.0,0.0,82.0,2.0,0.0,0.0,83.0,8.0,60.0,2.0,0.0,0.0,41.0
